,area_id,area_type,year,percent_associates_degree,percent_bachelors_degree_or_higher,percent_graduate_or_professional_degree,percent_high_school_graduate_or_higher,percent_less_than_9th_grade,City,State
23798,1600000US5412124,region.place,2013,7.3,5.2,3.9,67.7,15.9,Cairo,WV
23818,1600000US5466412,region.place,2013,4.0,2.0,0.4,73.7,19.9,Quinwood,WV
23837,1600000US5404732,region.place,2013,0.0,0.0,0.0,82.9,17.1,Bartley,WV
23838,1600000US5465956,region.place,2013,5.2,1.9,0.0,81.9,11.0,Pullman,WV
23853,1600000US5433580,region.place,2013,0.0,0.0,0.0,58.6,41.4,Greenview,WV
23865,1600000US5433436,region.place,2013,0.0,0.0,0.0,100.0,0.0,Green Spring,WV
23883,1600000US5419300,region.place,2013,0.0,0.0,0.0,57.1,42.9,Crum,WV
23887,1600000US5436292,region.place,2013,0.0,0.0,0.0,45.6,54.4,Helen,WV
23892,1600000US5481484,region.place,2013,0.0,0.0,0.0,100.0,0.0,Twilight,WV
23907,1600000US5486932,region.place,2013,0.0,0.0,0.0,45.8,54.2,Whitmer,WV
23908,1600000US5461684,region.place,2013,0.0,0.0,0.0,31.8,68.2,Pageton,WV
23909,1600000US5406436,region.place,2013,0.0,0.0,0.0,90.7,9.3,Bergoo,WV
23910,1600000US5428948,region.place,2013,0.0,0.0,0.0,100.0,0.0,Frank,WV
23913,1600000US5419492,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cucumber,WV
23914,1600000US5413684,region.place,2013,0.0,0.0,0.0,55.6,44.4,Cass,WV
24017,1600000US5625475,region.place,2013,0.0,0.0,0.0,100.0,0.0,Etna,WY
24048,1600000US5606480,region.place,2013,0.0,0.0,0.0,100.0,0.0,Beulah,WY
24066,1600000US5612860,region.place,2013,0.0,0.0,0.0,100.0,0.0,Carpenter,WY
24081,1600000US5636060,region.place,2013,0.0,0.0,0.0,85.4,14.6,Hawk Springs,WY
24091,1600000US5606045,region.place,2013,0.0,0.0,0.0,100.0,0.0,Bedford,WY
24096,1600000US5682967,region.place,2013,0.0,0.0,0.0,100.0,0.0,Westview Circle,WY
24101,1600000US5680285,region.place,2013,0.0,0.0,0.0,100.0,0.0,Veteran,WY
24102,1600000US5662305,region.place,2013,0.0,0.0,0.0,100.0,0.0,Powder River,WY
24103,1600000US5602877,region.place,2013,0.0,0.0,0.0,100.0,0.0,Antelope Hills,WY
24105,1600000US5647805,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lost Springs,WY
24106,1600000US5647370,region.place,2013,0.0,0.0,0.0,0.0,100.0,Lonetree,WY
